Gmt time,Open,High,Low,Close,Volume
22.04.2019 13:30:00.000,9.237,9.248,9.237,9.238,0.1076
22.04.2019 13:31:00.000,9.237,9.268,9.237,9.257,0.136
22.04.2019 13:32:00.000,9.258,9.268,9.247,9.258,0.2773
22.04.2019 13:33:00.000,9.257,9.288,9.257,9.288,0.561
22.04.2019 13:34:00.000,9.287,9.288,9.267,9.267,0.2724
22.04.2019 13:35:00.000,9.268,9.278,9.258,9.267,0.6274
22.04.2019 13:36:00.000,9.268,9.298,9.267,9.287,0.7782
22.04.2019 13:37:00.000,9.288,9.297,9.277,9.288,0.6132
22.04.2019 13:38:00.000,9.287,9.288,9.268,9.268,0.3219
22.04.2019 13:39:00.000,9.268,9.278,9.258,9.267,0.5625
22.04.2019 13:40:00.000,9.268,9.268,9.267,9.268,0.0898
22.04.2019 13:41:00.000,9.267,9.278,9.267,9.278,0.4408
22.04.2019 13:42:00.000,9.277,9.278,9.267,9.268,0.205
22.04.2019 13:43:00.000,9.258,9.268,9.257,9.267,0.2354
22.04.2019 13:44:00.000,9.268,9.268,9.258,9.258,0.8188
22.04.2019 13:45:00.000,9.258,9.268,9.257,9.268,0.6002
22.04.2019 13:46:00.000,9.267,9.268,9.257,9.257,0.399
22.04.2019 13:47:00.000,9.258,9.258,9.257,9.257,0.2465
22.04.2019 13:48:00.000,9.258,9.268,9.257,9.267,0.5574
22.04.2019 13:49:00.000,9.268,9.268,9.257,9.258,0.2377
22.04.2019 13:50:00.000,9.258,9.258,9.248,9.248,0.5694
22.04.2019 13:51:00.000,9.248,9.248,9.228,9.237,0.5607
22.04.2019 13:52:00.000,9.238,9.238,9.237,9.238,0.4264
22.04.2019 13:53:00.000,9.237,9.238,9.237,9.238,1.0812
22.04.2019 13:54:00.000,9.237,9.238,9.227,9.227,0.5083
22.04.2019 13:55:00.000,9.228,9.228,9.217,9.228,0.8607
22.04.2019 13:56:00.000,9.228,9.228,9.227,9.228,0.5829
22.04.2019 13:57:00.000,9.227,9.228,9.227,9.228,0.2162
22.04.2019 13:58:00.000,9.227,9.248,9.227,9.248,0.2297
22.04.2019 13:59:00.000,9.247,9.248,9.237,9.238,0.4772
22.04.2019 14:00:00.000,9.237,9.238,9.227,9.227,0.565
22.04.2019 14:01:00.000,9.228,9.228,9.217,9.218,0.4258
22.04.2019 14:02:00.000,9.217,9.228,9.217,9.218,0.7679
22.04.2019 14:03:00.000,9.217,9.218,9.207,9.207,0.9708
22.04.2019 14:04:00.000,9.208,9.218,9.207,9.217,0.3332
22.04.2019 14:05:00.000,9.218,9.218,9.217,9.218,0.4462
22.04.2019 14:06:00.000,9.217,9.228,9.217,9.228,0.3462
22.04.2019 14:07:00.000,9.218,9.218,9.218,9.218,0.1454
22.04.2019 14:08:00.000,9.218,9.218,9.218,9.218,0.5091
22.04.2019 14:09:00.000,9.218,9.218,9.218,9.218,0.6005
22.04.2019 14:10:00.000,9.218,9.218,9.207,9.208,1.3371
22.04.2019 14:11:00.000,9.207,9.218,9.207,9.217,1.2891
22.04.2019 14:12:00.000,9.218,9.228,9.217,9.228,0.5213
22.04.2019 14:13:00.000,9.217,9.218,9.217,9.218,0.8655
22.04.2019 14:14:00.000,9.217,9.218,9.217,9.218,0.5971
22.04.2019 14:15:00.000,9.217,9.218,9.217,9.218,0.6092
22.04.2019 14:16:00.000,9.217,9.218,9.197,9.197,0.8955
22.04.2019 14:17:00.000,9.198,9.208,9.197,9.207,0.8146
22.04.2019 14:18:00.000,9.208,9.218,9.207,9.218,0.4286
22.04.2019 14:19:00.000,9.217,9.218,9.217,9.218,0.4426
22.04.2019 14:20:00.000,9.217,9.218,9.207,9.218,0.589
