Gmt time,Open,High,Low,Close,Volume
22.04.2019 13:32:00.000,118.438,118.438,118.437,118.438,0.0191
22.04.2019 13:33:00.000,118.438,118.488,118.437,118.487,0.002
22.04.2019 13:34:00.000,118.488,118.648,118.487,118.488,0.0392
22.04.2019 13:35:00.000,118.487,118.557,117.967,118.138,0.0904
22.04.2019 13:36:00.000,118.177,118.198,117.977,118.158,0.1254
22.04.2019 13:37:00.000,118.158,118.197,117.997,118.078,0.092
22.04.2019 13:38:00.000,118.077,118.158,117.757,117.758,0.0317
22.04.2019 13:39:00.000,117.757,117.898,117.707,117.868,0.0269
22.04.2019 13:40:00.000,117.928,117.967,117.787,117.827,0.0548
22.04.2019 13:41:00.000,117.848,118.027,117.848,118.018,0.1287
22.04.2019 13:42:00.000,118.018,118.088,117.997,117.998,0.0706
22.04.2019 13:43:00.000,117.928,118.028,117.927,117.987,0.0485
22.04.2019 13:44:00.000,117.948,117.948,117.658,117.678,0.0694
22.04.2019 13:45:00.000,117.697,117.758,117.658,117.677,0.0162
22.04.2019 13:46:00.000,117.678,117.787,117.677,117.758,0.0944
22.04.2019 13:47:00.000,117.757,117.758,117.557,117.557,0.1237
22.04.2019 13:48:00.000,117.558,117.618,117.457,117.618,0.1202
22.04.2019 13:49:00.000,117.628,117.688,117.617,117.618,0.0479
22.04.2019 13:50:00.000,117.618,117.647,117.567,117.568,0.0012
22.04.2019 13:51:00.000,117.567,117.568,117.467,117.468,0.0518
22.04.2019 13:52:00.000,117.468,117.537,117.467,117.537,0.0447
22.04.2019 13:53:00.000,117.538,117.578,117.537,117.578,0.0377
22.04.2019 13:54:00.000,117.577,117.577,117.227,117.227,0.1026
22.04.2019 13:55:00.000,117.228,117.258,117.227,117.257,0.0014
22.04.2019 13:56:00.000,117.147,117.268,117.145,117.240,0.0088
22.04.2019 13:57:00.000,117.220,117.357,117.220,117.348,0.0471
22.04.2019 13:58:00.000,117.348,117.487,117.275,117.487,0.0172
22.04.2019 13:59:00.000,117.487,117.488,117.487,117.488,0.0255
22.04.2019 14:00:00.000,117.508,117.588,117.488,117.587,0.1589
22.04.2019 14:01:00.000,117.587,117.588,117.548,117.588,0.1787
22.04.2019 14:02:00.000,117.588,117.588,117.557,117.557,0.0816
22.04.2019 14:03:00.000,117.558,117.578,117.557,117.578,0.0457
22.04.2019 14:04:00.000,117.577,117.617,117.497,117.508,0.048
22.04.2019 14:05:00.000,117.508,117.578,117.427,117.447,0.1554
22.04.2019 14:06:00.000,117.448,117.448,117.407,117.417,0.0683
22.04.2019 14:07:00.000,117.418,117.418,117.317,117.367,0.0699
22.04.2019 14:08:00.000,117.368,117.368,117.317,117.357,0.022
22.04.2019 14:09:00.000,117.358,117.358,117.247,117.277,0.0994
22.04.2019 14:10:00.000,117.277,117.388,117.277,117.378,0.0891
22.04.2019 14:11:00.000,117.377,117.488,117.377,117.487,0.1117
22.04.2019 14:12:00.000,117.497,117.538,117.497,117.537,0.0089
22.04.2019 14:13:00.000,117.548,117.598,117.537,117.598,0.1062
22.04.2019 14:14:00.000,117.618,117.738,117.607,117.738,0.1019
22.04.2019 14:15:00.000,117.737,117.737,117.668,117.727,0.0607
22.04.2019 14:16:00.000,117.727,117.748,117.617,117.658,0.1433
22.04.2019 14:17:00.000,117.657,117.738,117.567,117.568,0.1641
22.04.2019 14:18:00.000,117.567,117.728,117.567,117.707,0.1102
22.04.2019 14:19:00.000,117.697,117.707,117.617,117.628,0.0994
22.04.2019 14:20:00.000,117.567,117.628,117.567,117.578,0.0408
22.04.2019 14:21:00.000,117.578,117.578,117.547,117.577,0.15
22.04.2019 14:22:00.000,117.578,117.578,117.497,117.498,0.1507
22.04.2019 14:23:00.000,117.487,117.487,117.428,117.457,0.2133
22.04.2019 14:24:00.000,117.457,117.578,117.457,117.537,0.1441
22.04.2019 14:25:00.000,117.538,117.548,117.537,117.548,0.0082
22.04.2019 14:26:00.000,117.548,117.677,117.548,117.668,0.0709
22.04.2019 14:27:00.000,117.677,117.678,117.627,117.638,0.0665
22.04.2019 14:28:00.000,117.637,117.638,117.587,117.588,0.001
22.04.2019 14:29:00.000,117.578,117.618,117.527,117.558,0.1142
22.04.2019 14:30:00.000,117.558,117.668,117.558,117.667,0.1351
22.04.2019 14:31:00.000,117.668,117.728,117.647,117.728,0.0977
22.04.2019 14:32:00.000,117.728,117.748,117.627,117.627,0.1341
22.04.2019 14:33:00.000,117.627,117.698,117.617,117.627,0.2142
22.04.2019 14:34:00.000,117.627,117.638,117.577,117.618,0.0288
22.04.2019 14:35:00.000,117.617,117.627,117.547,117.547,0.0887
22.04.2019 14:36:00.000,117.518,117.548,117.477,117.508,0.025
22.04.2019 14:37:00.000,117.497,117.498,117.408,117.478,0.0163
22.04.2019 14:38:00.000,117.488,117.548,117.488,117.547,0.0086
22.04.2019 14:39:00.000,117.538,117.538,117.467,117.468,0.0338
22.04.2019 14:40:00.000,117.468,117.498,117.467,117.467,0.1172
22.04.2019 14:41:00.000,117.468,117.478,117.458,117.468,0.0092
22.04.2019 14:42:00.000,117.497,117.498,117.388,117.388,0.0611
22.04.2019 14:43:00.000,117.388,117.408,117.367,117.368,0.0675
22.04.2019 14:44:00.000,117.357,117.358,117.267,117.267,0.0421
22.04.2019 14:45:00.000,117.268,117.337,117.157,117.158,0.1802
